category,grade,kaisai_name,keirin_cd,meeting_icon,pos1_car_no,pos1_decision,pos1_name,pos1_region,pos2_car_no,pos2_decision,pos2_name,pos2_region,pos3_car_no,pos3_decision,pos3_name,pos3_region,quinella,quinella_payout,quinella_popularity,race_date,race_no,track,trifecta,trifecta_payout,trifecta_popularity,source_file,race_no_num,race_id
Ｓ級予選,F1,,13.0,3,7.0,捲り,坂本　貴史,青　森,1.0,マーク,尾形　鉄馬,宮　城,3.0,,澤田　義和,兵　庫,7-1,230円,(1),20240116,11R,いわき平,7-1-3,"1,800円",(5),keirin_results_20240101_20240222.csv,11,13_20240116_11
Ｓ級初日特選,F1,,13.0,3,2.0,差し,村上　博幸,京　都,5.0,差し,山本　伸一,奈　良,1.0,,中田　健太,埼　玉,2-5,790円,(1),20240116,12R,いわき平,2-5-1,"4,420円",(9),keirin_results_20240101_20240222.csv,12,13_20240116_12
Ａ級一般,F1,,13.0,3,2.0,差し,坂元　洋行,三　重,7.0,逃げ,谷本　奨輝,富　山,5.0,,柳原　司,大　阪,2-7,"1,130円",(6),20240117,1R,いわき平,2-7-5,"2,160円",(2),keirin_results_20240101_20240222.csv,1,13_20240117_01
Ａ級一般,F1,,13.0,3,4.0,捲り,牛田樹希斗,愛　知,2.0,逃げ,吉原　友彦,神奈川,5.0,,鶴岡　與之,千　葉,4-2,960円,(3),20240117,2R,いわき平,4-2-5,"3,260円",(8),keirin_results_20240101_20240222.csv,2,13_20240117_02
Ａ級準決勝,F1,,13.0,3,2.0,逃げ,松坂　侑亮,神奈川,5.0,マーク,春日　勇人,千　葉,4.0,,柴田　竜史,静　岡,2-5,330円,(1),20240117,3R,いわき平,2-5-4,"1,170円",(2),keirin_results_20240101_20240222.csv,3,13_20240117_03
Ａ級準決勝,F1,,13.0,3,1.0,差し,相笠　翔太,福　島,7.0,差し,福田　真平,愛　知,2.0,,白上　翔,滋　賀,1-7,"3,900円",(12),20240117,4R,いわき平,1-7-2,"11,520円",(30),keirin_results_20240101_20240222.csv,4,13_20240117_04
Ａ級準決勝,F1,,13.0,3,3.0,逃げ,安彦　統賀,埼　玉,6.0,差し,伊藤　奎,福　島,7.0,,伊藤　勝太,愛　知,3-6,450円,(1),20240117,5R,いわき平,3-6-7,"2,070円",(2),keirin_results_20240101_20240222.csv,5,13_20240117_05
Ｓ級一般,F1,,13.0,3,3.0,差し,内田　英介,東　京,2.0,逃げ,谷　和也,大　阪,4.0,,吉田　敏洋,愛　知,3-2,830円,(4),20240117,6R,いわき平,3-2-4,"5,330円",(20),keirin_results_20240101_20240222.csv,6,13_20240117_06
Ｓ級一般,F1,,13.0,3,4.0,差し,中田　雄喜,福　島,2.0,差し,宮越　孝治,富　山,5.0,,酒井　拳蔵,大　阪,4-2,"1,520円",(7),20240117,7R,いわき平,4-2-5,"3,820円",(12),keirin_results_20240101_20240222.csv,7,13_20240117_07
Ｓ級選抜,F1,,13.0,3,5.0,差し,澤田　義和,兵　庫,7.0,差し,松永　将,茨　城,6.0,,長谷部龍一,岐　阜,5-7,"10,410円",(38),20240117,8R,いわき平,5-7-6,"96,150円",(205),keirin_results_20240101_20240222.csv,8,13_20240117_08
Ｓ級選抜,F1,,13.0,3,4.0,逃げ,中嶋　宣成,長　野,2.0,マーク,大洞　翔平,岐　阜,3.0,,伊藤　亮,埼　玉,4-2,720円,(3),20240117,9R,いわき平,4-2-3,"5,370円",(20),keirin_results_20240101_20240222.csv,9,13_20240117_09
Ｓ級準決勝,F1,,13.0,3,3.0,差し,川口　聖二,岐　阜,1.0,マーク,坂本　貴史,青　森,4.0,,尾形　鉄馬,宮　城,3-1,810円,(3),20240117,10R,いわき平,3-1-4,"2,300円",(3),keirin_results_20240101_20240222.csv,10,13_20240117_10
Ｓ級準決勝,F1,,13.0,3,1.0,差し,岡村　潤,静　岡,7.0,逃げ,大石　剣士,静　岡,3.0,,畑段　嵐士,京　都,1-7,310円,(1),20240117,11R,いわき平,1-7-3,"1,180円",(2),keirin_results_20240101_20240222.csv,11,13_20240117_11
Ｓ級準決勝,F1,,13.0,3,7.0,逃げ,志田　龍星,岐　阜,1.0,マーク,村上　博幸,京　都,3.0,,中田　健太,埼　玉,7-1,750円,(3),20240117,12R,いわき平,7-1-3,"1,780円",(4),keirin_results_20240101_20240222.csv,12,13_20240117_12
Ａ級一般,F1,,13.0,3,3.0,逃げ,樋口　開土,東　京,5.0,マーク,緒方　剛,埼　玉,4.0,,榊枝　輝文,福　島,3-5,"1,050円",(3),20240118,1R,いわき平,3-5-4,"3,520円",(8),keirin_results_20240101_20240222.csv,1,13_20240118_01
Ａ級一般,F1,,13.0,3,6.0,差し,有賀　高士,石　川,4.0,マーク,鶴岡　與之,千　葉,3.0,,西　徹,石　川,6-4,"61,730円",(38),20240118,2R,いわき平,6-4-3,"253,890円",(190),keirin_results_20240101_20240222.csv,2,13_20240118_02
Ａ級特選,F1,,13.0,3,1.0,捲り,宇佐見裕輝,福　島,5.0,差し,篠原　忍,愛　知,7.0,,大越　啓介,栃　木,1-5,"3,620円",(15),20240118,3R,いわき平,1-5-7,"29,250円",(106),keirin_results_20240101_20240222.csv,3,13_20240118_03
Ａ級特選,F1,,13.0,3,2.0,逃げ,鈴木　涼介,福　島,4.0,マーク,寺林　正秋,宮　城,7.0,,柴田　竜史,静　岡,2-4,420円,(1),20240118,4R,いわき平,2-4-7,980円,(1),keirin_results_20240101_20240222.csv,4,13_20240118_04
Ｓ級一般,F1,,13.0,3,4.0,差し,鷲田　幸司,福　井,3.0,逃げ,酒井　拳蔵,大　阪,1.0,,宮越　孝治,富　山,4-3,500円,(1),20240118,5R,いわき平,4-3-1,730円,(1),keirin_results_20240101_20240222.csv,5,13_20240118_05
Ｓ級一般,F1,,13.0,3,1.0,差し,東　龍之介,神奈川,6.0,逃げ,望月　一成,静　岡,3.0,,小林　圭介,茨　城,1-6,410円,(2),20240118,6R,いわき平,1-6-3,590円,(1),keirin_results_20240101_20240222.csv,6,13_20240118_06
Ｓ級一般,F1,,13.0,3,1.0,差し,松田　治之,大　阪,5.0,逃げ,谷　和也,大　阪,7.0,,長谷部龍一,岐　阜,1-5,270円,(1),20240118,7R,いわき平,1-5-7,"1,190円",(2),keirin_results_20240101_20240222.csv,7,13_20240118_07
Ｓ級特選,F1,,13.0,3,7.0,捲り,中嶋　宣成,長　野,2.0,差し,松岡　健介,兵　庫,6.0,,大洞　翔平,岐　阜,7-2,"2,060円",(7),20240118,8R,いわき平,7-2-6,"14,550円",(54),keirin_results_20240101_20240222.csv,8,13_20240118_08
Ｓ級特選,F1,,13.0,3,1.0,差し,尾形　鉄馬,宮　城,2.0,逃げ,日高　裕太,静　岡,4.0,,保科　千春,宮　城,1-2,"1,980円",(10),20240118,9R,いわき平,1-2-4,"8,370円",(31),keirin_results_20240101_20240222.csv,9,13_20240118_09
Ｓ級特選,F1,,13.0,3,3.0,差し,中田　雄喜,福　島,5.0,逃げ,真鍋　顕汰,三　重,4.0,,澤田　義和,兵　庫,3-5,720円,(2),20240118,10R,いわき平,3-5-4,"3,730円",(14),keirin_results_20240101_20240222.csv,10,13_20240118_10
Ａ級決勝,F1,,13.0,3,6.0,差し,伊藤　奎,福　島,1.0,マーク,相笠　翔太,福　島,7.0,,春日　勇人,千　葉,6-1,800円,(2),20240118,11R,いわき平,6-1-7,"7,280円",(29),keirin_results_20240101_20240222.csv,11,13_20240118_11
Ｓ級決勝,F1,,13.0,3,5.0,差し,岡村　潤,静　岡,4.0,差し,中田　健太,埼　玉,2.0,,志田　龍星,岐　阜,5-4,"5,100円",(21),20240118,12R,いわき平,5-4-2,"44,330円",(152),keirin_results_20240101_20240222.csv,12,13_20240118_12
Ｓ級一次予選,G3,,13.0,1,7.0,差し,和田　圭,宮　城,6.0,捲り,林　敬宏,愛　知,8.0,,上原　龍,長　野,7-6,"7,700円",(17),20240125,1R,いわき平,7-6-8,"138,440円",(162),keirin_results_20240101_20240222.csv,1,13_20240125_01
Ｓ級一次予選,G3,,13.0,1,3.0,差し,鈴木　庸之,新　潟,5.0,マーク,柿澤　大貴,長　野,6.0,,小西　晴己,三　重,3-5,"1,220円",(3),20240125,2R,いわき平,3-5-6,"17,560円",(58),keirin_results_20240101_20240222.csv,2,13_20240125_02
Ｓ級一次予選,G3,,13.0,1,9.0,差し,山根　将太,岡　山,5.0,差し,山賀　雅仁,千　葉,2.0,,川越　勇星,神奈川,9-5,"2,070円",(7),20240125,3R,いわき平,9-5-2,"9,360円",(34),keirin_results_20240101_20240222.csv,3,13_20240125_03
Ｓ級一次予選,G3,,13.0,1,4.0,差し,伊東　翔貴,福　島,3.0,差し,瓜生　崇智,熊　本,1.0,,山口　翼,茨　城,4-3,"4,310円",(17),20240125,4R,いわき平,4-3-1,"39,060円",(122),keirin_results_20240101_20240222.csv,4,13_20240125_04
Ｓ級一次予選,G3,,13.0,1,9.0,捲り,窓場千加頼,京　都,5.0,差し,小川　賢人,福　岡,7.0,,青柳　靖起,佐　賀,9-5,"6,830円",(17),20240125,5R,いわき平,9-5-7,"56,040円",(138),keirin_results_20240101_20240222.csv,5,13_20240125_05
Ｓ級一次予選,G3,,13.0,1,7.0,捲り,皿屋　豊,三　重,3.0,マーク,神田　紘輔,大　阪,1.0,,荻原　尚人,宮　城,7-3,220円,(1),20240125,6R,いわき平,7-3-1,540円,(1),keirin_results_20240101_20240222.csv,6,13_20240125_06
Ｓ級一次予選,G3,,13.0,1,2.0,差し,川村　晃司,京　都,5.0,差し,杉本　正隆,茨　城,9.0,,伊藤　旭,熊　本,2-5,"6,540円",(18),20240125,7R,いわき平,2-5-9,"40,130円",(83),keirin_results_20240101_20240222.csv,7,13_20240125_07
Ｓ級一次予選,G3,,13.0,1,2.0,差し,嶋田　誠也,福　岡,1.0,差し,小林　潤二,群　馬,6.0,,梁島　邦友,茨　城,2-1,"27,950円",(49),20240125,8R,いわき平,2-1-6,"379,630円",(386),keirin_results_20240101_20240222.csv,8,13_20240125_08
Ｓ級一次予選,G3,,13.0,1,7.0,差し,小松崎大地,福　島,9.0,差し,池田　良,広　島,4.0,,青井　賢治,徳　島,7-9,980円,(3),20240125,9R,いわき平,7-9-4,"11,400円",(25),keirin_results_20240101_20240222.csv,9,13_20240125_09
Ｓ級一次予選,G3,,13.0,1,1.0,捲り,石原　颯,香　川,9.0,差し,吉田　拓矢,茨　城,2.0,,橋本　壮史,茨　城,1-9,"2,450円",(8),20240125,10R,いわき平,1-9-2,"11,870円",(33),keirin_results_20240101_20240222.csv,10,13_20240125_10
Ｓ級一次予選,G3,,13.0,1,5.0,差し,山崎　芳仁,福　島,1.0,逃げ,高橋　晋也,福　島,8.0,,坂上　樹大,石　川,5-1,180円,(1),20240125,11R,いわき平,5-1-8,"4,400円",(10),keirin_results_20240101_20240222.csv,11,13_20240125_11
Ｓ級初日特選,G3,,13.0,1,9.0,捲り,脇本　雄太,福　井,1.0,マーク,古性　優作,大　阪,8.0,,新田　祐大,福　島,9-1,"1,130円",(3),20240125,12R,いわき平,9-1-8,"4,290円",(5),keirin_results_20240101_20240222.csv,12,13_20240125_12
Ｓ級選抜,G3,,13.0,1,1.0,捲り,小堺　浩二,石　川,2.0,逃げ,野口　裕史,千　葉,6.0,,田川　翔琉,熊　本,1-2,"2,490円",(8),20240126,1R,いわき平,1-2-6,"36,980円",(105),keirin_results_20240101_20240222.csv,1,13_20240126_01
Ｓ級選抜,G3,,13.0,1,6.0,差し,小谷　実,京　都,9.0,差し,岸澤　賢太,埼　玉,1.0,,蒔田　英彦,千　葉,6-9,"35,990円",(59),20240126,2R,いわき平,6-9-1,"244,550円",(391),keirin_results_20240101_20240222.csv,2,13_20240126_02
Ｓ級選抜,G3,,13.0,1,5.0,差し,戸田　洋平,岡　山,4.0,マーク,伊藤　裕貴,三　重,3.0,,林　昌幸,愛　媛,5-4,"20,230円",(48),20240126,3R,いわき平,5-4-3,"208,150円",(368),keirin_results_20240101_20240222.csv,3,13_20240126_03
Ｓ級選抜,G3,,13.0,1,7.0,差し,阪本　和也,長　崎,2.0,逃げ,片岡　迪之,岡　山,9.0,,櫻井祐太郎,宮　城,7-2,670円,(2),20240126,4R,いわき平,7-2-9,"3,780円",(7),keirin_results_20240101_20240222.csv,4,13_20240126_04
Ｓ級選抜,G3,,13.0,1,3.0,差し,鈴木　陸来,静　岡,1.0,差し,稲垣　裕之,京　都,9.0,,竹内　翼,広　島,3-1,"1,620円",(5),20240126,5R,いわき平,3-1-9,"6,200円",(16),keirin_results_20240101_20240222.csv,5,13_20240126_05
Ｓ級二次予選,G3,,13.0,1,9.0,差し,皿屋　豊,三　重,1.0,捲り,山口　拳矢,岐　阜,7.0,,山田　庸平,佐　賀,9-1,"1,360円",(8),20240126,6R,いわき平,9-1-7,"2,870円",(7),keirin_results_20240101_20240222.csv,6,13_20240126_06
Ｓ級二次予選,G3,,13.0,1,3.0,差し,井上　昌己,長　崎,1.0,捲り,嘉永　泰斗,熊　本,5.0,,嶋田　誠也,福　岡,3-1,440円,(2),20240126,7R,いわき平,3-1-5,"1,040円",(2),keirin_results_20240101_20240222.csv,7,13_20240126_07
Ｓ級二次予選,G3,,13.0,1,5.0,捲り,新田　祐大,福　島,7.0,差し,瓜生　崇智,熊　本,3.0,,伊藤　旭,熊　本,5-7,"1,660円",(4),20240126,8R,いわき平,5-7-3,"4,440円",(12),keirin_results_20240101_20240222.csv,8,13_20240126_08
Ｓ級二次予選,G3,,13.0,1,1.0,差し,渡部　幸訓,福　島,7.0,逃げ,新山　響平,青　森,9.0,,荻原　尚人,宮　城,1-7,280円,(1),20240126,9R,いわき平,1-7-9,520円,(1),keirin_results_20240101_20240222.csv,9,13_20240126_09
Ｓ級二次予選,G3,,13.0,1,2.0,差し,吉田　拓矢,茨　城,5.0,捲り,古性　優作,大　阪,1.0,,窓場千加頼,京　都,2-5,"1,270円",(4),20240126,10R,いわき平,2-5-1,"3,500円",(12),keirin_results_20240101_20240222.csv,10,13_20240126_10
Ｓ級二次予選,G3,,13.0,1,1.0,差し,佐藤慎太郎,福　島,7.0,捲り,高橋　晋也,福　島,6.0,,小西　晴己,三　重,1-7,280円,(1),20240126,11R,いわき平,1-7-6,"5,450円",(11),keirin_results_20240101_20240222.csv,11,13_20240126_11
Ｓ級二次予選,G3,,13.0,1,9.0,逃げ,石原　颯,香　川,1.0,マーク,湊　聖二,徳　島,3.0,,寺沼　拓摩,東　京,9-1,"3,440円",(10),20240126,12R,いわき平,9-1-3,"55,150円",(70),keirin_results_20240101_20240222.csv,12,13_20240126_12
Ｓ級一般,G3,,13.0,1,2.0,差し,竹山　陵太,宮　城,7.0,差し,太刀川一成,千　葉,6.0,,上遠野拓馬,宮　城,2-7,"1,710円",(7),20240127,1R,いわき平,2-7-6,"12,770円",(41),keirin_results_20240101_20240222.csv,1,13_20240127_01
Ｓ級一般,G3,,13.0,1,8.0,捲り,村上　直久,神奈川,5.0,差し,金成　和幸,福　島,7.0,,神山雄一郎,栃　木,8-5,"21,450円",(57),20240127,2R,いわき平,8-5-7,"192,050円",(407),keirin_results_20240101_20240222.csv,2,13_20240127_02
Ｓ級一般,G3,,13.0,1,2.0,差し,渡辺　正光,福　島,8.0,差し,石川　雅望,群　馬,9.0,,伊藤　正樹,愛　知,2-8,"17,540円",(54),20240127,3R,いわき平,2-8-9,"171,960円",(370),keirin_results_20240101_20240222.csv,3,13_20240127_03
Ｓ級選抜,G3,,13.0,1,8.0,差し,梁島　邦友,茨　城,9.0,差し,水谷　好宏,大　阪,7.0,,橋本　智昭,宮　城,8-9,"20,080円",(65),20240127,4R,いわき平,8-9-7,"174,320円",(427),keirin_results_20240101_20240222.csv,4,13_20240127_04
Ｓ級選抜,G3,,13.0,1,9.0,差し,石丸　寛之,岡　山,2.0,差し,稲垣　裕之,京　都,5.0,,山根　将太,岡　山,9-2,"9,330円",(38),20240127,5R,いわき平,9-2-5,"48,960円",(187),keirin_results_20240101_20240222.csv,5,13_20240127_05
Ｓ級選抜,G3,,13.0,1,1.0,逃げ,野口　裕史,千　葉,9.0,マーク,蒔田　英彦,千　葉,3.0,,片岡　迪之,岡　山,1-9,980円,(3),20240127,6R,いわき平,1-9-3,"3,180円",(3),keirin_results_20240101_20240222.csv,6,13_20240127_06
Ｓ級特選,G3,,13.0,1,1.0,差し,佐藤　礼文,茨　城,9.0,差し,木村　隆弘,徳　島,5.0,,山口　翼,茨　城,1-9,"6,620円",(22),20240127,7R,いわき平,1-9-5,"37,760円",(114),keirin_results_20240101_20240222.csv,7,13_20240127_07
Ｓ級特選,G3,,13.0,1,8.0,差し,小川　賢人,福　岡,7.0,差し,鈴木　庸之,新　潟,4.0,,小林　潤二,群　馬,8-7,"8,750円",(32),20240127,8R,いわき平,8-7-4,"67,380円",(199),keirin_results_20240101_20240222.csv,8,13_20240127_08
Ｓ級特選,G3,,13.0,1,2.0,差し,須永　優太,福　島,7.0,マーク,杉本　正隆,茨　城,9.0,,小堺　浩二,石　川,2-7,690円,(2),20240127,9R,いわき平,2-7-9,"5,230円",(7),keirin_results_20240101_20240222.csv,9,13_20240127_09
Ｓ級準決勝,G3,,13.0,1,2.0,差し,新田　祐大,福　島,1.0,差し,伊藤　旭,熊　本,8.0,,窓場千加頼,京　都,2-1,"2,940円",(9),20240127,10R,いわき平,2-1-8,"35,730円",(99),keirin_results_20240101_20240222.csv,10,13_20240127_10
Ｓ級準決勝,G3,,13.0,1,5.0,差し,神田　紘輔,大　阪,1.0,捲り,山田　庸平,佐　賀,7.0,,井上　昌己,長　崎,5-1,"18,890円",(30),20240127,11R,いわき平,5-1-7,"90,860円",(152),keirin_results_20240101_20240222.csv,11,13_20240127_11
Ｓ級準決勝,G3,,13.0,1,2.0,捲り,嘉永　泰斗,熊　本,1.0,逃げ,新山　響平,青　森,5.0,,佐藤慎太郎,福　島,2-1,"2,530円",(10),20240127,12R,いわき平,2-1-5,"4,650円",(12),keirin_results_20240101_20240222.csv,12,13_20240127_12
Ｓ級一般,G3,,13.0,1,9.0,差し,岸澤　賢太,埼　玉,7.0,捲り,林　昌幸,愛　媛,2.0,,石川　裕二,茨　城,9-7,"2,810円",(8),20240128,1R,いわき平,9-7-2,"11,910円",(27),keirin_results_20240101_20240222.csv,1,13_20240128_01
Ｓ級一般,G3,,13.0,1,1.0,差し,西村　光太,三　重,3.0,マーク,川口　直人,神奈川,5.0,,佐伯　翔,福　島,1-3,"2,710円",(9),20240128,2R,いわき平,1-3-5,"11,650円",(30),keirin_results_20240101_20240222.csv,2,13_20240128_02
Ｓ級一般,G3,,13.0,1,1.0,捲り,竹内　翼,広　島,7.0,差し,山口　貴弘,佐　賀,6.0,,福元　啓太,大　阪,1-7,720円,(1),20240128,3R,いわき平,1-7-6,"11,450円",(36),keirin_results_20240101_20240222.csv,3,13_20240128_03
Ｓ級選抜,G3,,13.0,1,5.0,差し,橋本　強,愛　媛,2.0,差し,坂本　周輝,青　森,1.0,,白戸淳太郎,神奈川,5-2,"1,170円",(5),20240128,4R,いわき平,5-2-1,"7,810円",(23),keirin_results_20240101_20240222.csv,4,13_20240128_04
Ｓ級選抜,G3,,13.0,1,8.0,差し,伊藤　裕貴,三　重,2.0,マーク,塚本　大樹,熊　本,5.0,,黒田　淳,岡　山,8-2,"2,020円",(8),20240128,5R,いわき平,8-2-5,"7,580円",(22),keirin_results_20240101_20240222.csv,5,13_20240128_05
Ｓ級選抜,G3,,13.0,1,2.0,差し,竹山　陵太,宮　城,9.0,差し,川村　晃司,京　都,7.0,,大川　剛,青　森,2-9,"1,300円",(4),20240128,6R,いわき平,2-9-7,"3,860円",(6),keirin_results_20240101_20240222.csv,6,13_20240128_06
Ｓ級特選,G3,,13.0,1,8.0,逃げ,山根　将太,岡　山,4.0,マーク,戸田　洋平,岡　山,9.0,,阪本　和也,長　崎,8-4,"3,310円",(17),20240128,7R,いわき平,8-4-9,"27,640円",(101),keirin_results_20240101_20240222.csv,7,13_20240128_07
Ｓ級特選,G3,,13.0,1,5.0,捲り,高橋　晋也,福　島,9.0,マーク,橋本　智昭,宮　城,4.0,,山本　健也,千　葉,5-9,620円,(1),20240128,8R,いわき平,5-9-4,"20,260円",(65),keirin_results_20240101_20240222.csv,8,13_20240128_08
Ｓ級特選,G3,,13.0,1,1.0,捲り,山口　拳矢,岐　阜,3.0,捲り,石原　颯,香　川,7.0,,皿屋　豊,三　重,1-3,"2,190円",(6),20240128,9R,いわき平,1-3-7,"6,580円",(18),keirin_results_20240101_20240222.csv,9,13_20240128_09
Ｓ級特別優秀,G3,,13.0,1,1.0,差し,渡部　幸訓,福　島,7.0,差し,吉田　拓矢,茨　城,9.0,,小松崎大地,福　島,1-7,"1,010円",(4),20240128,10R,いわき平,1-7-9,"2,880円",(6),keirin_results_20240101_20240222.csv,10,13_20240128_10
Ｓ級特別優秀,G3,,13.0,1,1.0,捲り,古性　優作,大　阪,5.0,差し,木村　隆弘,徳　島,9.0,,湊　聖二,徳　島,1-5,"2,110円",(7),20240128,11R,いわき平,1-5-9,"4,520円",(13),keirin_results_20240101_20240222.csv,11,13_20240128_11
Ｓ級決勝,G3,,13.0,1,1.0,捲り,新田　祐大,福　島,6.0,捲り,窓場千加頼,京　都,7.0,,山田　庸平,佐　賀,1-6,"12,050円",(31),20240128,12R,いわき平,1-6-7,"116,490円",(205),keirin_results_20240101_20240222.csv,12,13_20240128_12
Ａ級予選,F1,,13.0,3,2.0,差し,鈴木　達也,福　島,6.0,捲り,大森　光明,北海道,1.0,,高木　竜司,熊　本,2-6,"3,970円",(10),20240202,1R,いわき平,2-6-1,"8,770円",(19),keirin_results_20240101_20240222.csv,1,13_20240202_01
Ａ級予選,F1,,13.0,3,4.0,差し,都築　巧,高　知,5.0,差し,西本　直大,大　阪,1.0,,近藤　修康,岡　山,4-5,"1,020円",(4),20240202,2R,いわき平,4-5-1,"1,740円",(4),keirin_results_20240101_20240222.csv,2,13_20240202_02
Ａ級予選,F1,,13.0,3,7.0,差し,布居　大地,和歌山,2.0,捲り,高橋　大輝,秋　田,4.0,,松永　真太,福　岡,7-2,"2,920円",(8),20240202,3R,いわき平,7-2-4,"22,000円",(54),keirin_results_20240101_20240222.csv,3,13_20240202_03
Ａ級予選,F1,,13.0,3,4.0,差し,大矢　将大,埼　玉,3.0,捲り,竹元　健竜,福　岡,7.0,,江本　博明,千　葉,4-3,"2,950円",(6),20240202,4R,いわき平,4-3-7,"10,930円",(25),keirin_results_20240101_20240222.csv,4,13_20240202_04
Ａ級初日特選,F1,,13.0,3,4.0,差し,佐々木省司,青　森,3.0,差し,城　幸弘,山　梨,1.0,,廣川　泰昭,愛　媛,4-3,"6,860円",(29),20240202,5R,いわき平,4-3-1,"63,280円",(181),keirin_results_20240101_20240222.csv,5,13_20240202_05
Ｓ級予選,F1,,13.0,3,5.0,捲り,堀江　省吾,長　野,3.0,捲り,兼本　将太,熊　本,4.0,,牧　剛央,大　分,5-3,"1,390円",(6),20240202,6R,いわき平,5-3-4,"5,160円",(18),keirin_results_20240101_20240222.csv,6,13_20240202_06
Ｓ級予選,F1,,13.0,3,4.0,捲り,晝田宗一郎,岡　山,5.0,差し,松坂　洋平,神奈川,1.0,,格清　洋介,静　岡,4-5,"1,010円",(6),20240202,7R,いわき平,4-5-1,"3,670円",(15),keirin_results_20240101_20240222.csv,7,13_20240202_07
Ｓ級予選,F1,,13.0,3,4.0,捲り,磯島　成介,青　森,3.0,差し,不破　将登,岐　阜,7.0,,橋本　優己,岐　阜,4-3,"5,210円",(18),20240202,8R,いわき平,4-3-7,"13,230円",(40),keirin_results_20240101_20240222.csv,8,13_20240202_08
Ｓ級予選,F1,,13.0,3,7.0,差し,島田　竜二,熊　本,4.0,捲り,岩谷　拓磨,福　岡,3.0,,大野　悟郎,大　分,7-4,360円,(2),20240202,9R,いわき平,7-4-3,760円,(3),keirin_results_20240101_20240222.csv,9,13_20240202_09
Ｓ級予選,F1,,13.0,3,2.0,差し,金子　幸央,栃　木,5.0,マーク,鈴木　竜士,東　京,7.0,,藤原　誠,岐　阜,2-5,610円,(3),20240202,10R,いわき平,2-5-7,"9,420円",(17),keirin_results_20240101_20240222.csv,10,13_20240202_10
Ｓ級予選,F1,,13.0,3,1.0,差し,渡邉　一成,福　島,5.0,逃げ,酒井　雄多,福　島,7.0,,鹿内　翔,青　森,1-5,150円,(1),20240202,11R,いわき平,1-5-7,240円,(1),keirin_results_20240101_20240222.csv,11,13_20240202_11
